physical_file,raw_hdf5_path,mass_code,resolution_code,periapsis_code,velocity_code,spin_code,timestep,fof_linking_length,target_mass_kg,bound_mass_kg,captured_mass_kg,f_bnd_parent,f_capt_parent,particle_count,bound_particle_count,captured_particle_count,mars_mass_kg,mars_hill_radius_m,method,unresolved_handling,notes
Ma_xp_A1800_n60_r12_v00_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1800_n60_r12_v00_90000.hdf5,A1800,n60,r12,v00,,90000,0.002,9.995570218601747e+17,5.1584943606669037e+17,3.1431075521138406e+17,0.5160780473601146,0.3144500497094723,1002827,517537,315339,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1800_n60_r16_v00_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1800_n60_r16_v00_90000.hdf5,A1800,n60,r16,v00,,90000,0.002,9.995570218601747e+17,4.5488388045034003e+17,2.675347794160811e+17,0.45508547336679356,0.2676533439965227,1002827,456372,268410,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1850_n60_r12_v00_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1850_n60_r12_v00_90000.hdf5,A1850,n60,r12,v00,,90000,0.0024,3.161195528171134e+18,1.5654620723575695e+18,1.1513622819069706e+18,0.49521203557542864,0.3642173575302618,1002827,496612,365247,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1850_n60_r16_v00_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1850_n60_r16_v00_90000.hdf5,A1850,n60,r16,v00,,90000,0.0024,3.161195528171134e+18,1.510174162908987e+18,9.756823411190726e+17,0.4777224785531306,0.30864346492465783,1002827,479073,309516,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_n50_r12_v00_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n50_r12_v00_90000.hdf5,A1900,n50,r12,v00,,90000,0.006,9.997457577397287e+18,5.297303933970852e+18,4.054675327209781e+18,0.5298651074996548,0.4055706459186962,108605,57546,44047,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_n50_r16_v00_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n50_r16_v00_90000.hdf5,A1900,n50,r16,v00,,90000,0.006,9.997457577397287e+18,4.3841343822211057e+18,3.8436889751321185e+18,0.4385249297914461,0.38446664518208185,108605,47626,41755,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_n55_r12_v00_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n55_r12_v00_90000.hdf5,A1900,n55,r12,v00,,90000,0.004,9.997856924442294e+18,4.970019169907869e+18,4.1350461824990244e+18,0.4971084510878924,0.4135932544093381,319379,158766,132093,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_n55_r16_v00_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n55_r16_v00_90000.hdf5,A1900,n55,r16,v00,,90000,0.004,9.997856924442294e+18,4.5717690163512643e+18,3.7594601628187745e+18,0.457274899101068,0.37602660162377616,319379,146044,120095,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_n60_r12_v00_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n60_r12_v00_90000.hdf5,A1900,n60,r12,v00,,90000,0.003,9.998028708102498e+18,4.971691996680984e+18,3.944538852937379e+18,0.497267225553361,0.39453165900000736,1002827,498673,395647,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_n60_r16_v00_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n60_r16_v00_90000.hdf5,A1900,n60,r16,v00,,90000,0.003,9.998028708102498e+18,4.742375615774739e+18,3.440144507352027e+18,0.4743310660762029,0.3440822793961475,1002827,475672,345055,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_n65_r12_v00_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,,90000,0.002,9.998157260428001e+18,5.032328442629114e+18,3.963359673709219e+18,0.5033255940618891,0.3964090152288278,3227694,1624581,1279487,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_n65_r12_v02_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r12_v02_90000.hdf5,A1900,n65,r12,v02,,90000,0.002,9.99812922188077e+18,4.4883404998045394e+18,3.5588233299890693e+18,0.4489180325837225,0.35594892314460513,3227685,1448966,1148891,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_n65_r12_v04_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r12_v04_90000.hdf5,A1900,n65,r12,v04,,90000,0.002,9.99815710042623e+18,3.0467625974793446e+18,2.312305415001874e+18,0.30473241887241986,0.23127316282150623,3227694,983583,746479,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_n65_r12_v08_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r12_v08_90000.hdf5,A1900,n65,r12,v08,,90000,0.002,9.99815710042623e+18,0.0,0.0,0.0,0.0,3227694,0,0,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_n65_r12_v10_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r12_v10_90000.hdf5,A1900,n65,r12,v10,,90000,0.002,9.998138514729257e+18,1821398303262516.0,1074872808217845.4,0.00018217374169994066,0.00010750729314605342,3227688,588,347,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_n65_r12_v25_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r12_v25_90000.hdf5,A1900,n65,r12,v25,,90000,,,,,,,,,,,1080000000.0,particle_level_raw_snapshot_parent_normalized_failed,Raw particle-level extraction failed before classification.,Particle-level extraction failed: 'Neither PartType0 nor GasParticles exists in snapshot.'
Ma_xp_A1900_n65_r12_v30_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r12_v30_90000.hdf5,A1900,n65,r12,v30,,90000,,,,,,,,,,,1080000000.0,particle_level_raw_snapshot_parent_normalized_failed,Raw particle-level extraction failed before classification.,Particle-level extraction failed: 'Neither PartType0 nor GasParticles exists in snapshot.'
Ma_xp_A1900_n65_r13_v00_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r13_v00_90000.hdf5,A1900,n65,r13,v00,,90000,0.002,9.99815710042623e+18,5.012760720800696e+18,4.040106148313052e+18,0.5013684692538987,0.4040850836541485,3227694,1618264,1304263,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_n65_r14_v00_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r14_v00_90000.hdf5,A1900,n65,r14,v00,,90000,0.002,9.99815710042623e+18,5.130030273462113e+18,3.8165326042037417e+18,0.51309758607848,0.381723608247868,3227694,1656122,1232087,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_n65_r14_v02_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r14_v02_90000.hdf5,A1900,n65,r14,v02,,90000,0.002,9.998154002810067e+18,4.3162896053179587e+18,3.418454853607538e+18,0.4317086538279795,0.34190860159252917,3227693,1393423,1103576,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_n65_r14_v06_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r14_v06_90000.hdf5,A1900,n65,r14,v06,,90000,0.002,9.99815710042623e+18,9.910946815000929e+17,5.2987822067361536e+17,0.09912773639632465,0.05299758899077773,3227694,319954,171060,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_n65_r15_v00_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r15_v00_90000.hdf5,A1900,n65,r15,v00,,90000,0.002,9.99815710042623e+18,5.104301473620449e+18,3.8936756371024655e+18,0.5105242318509727,0.38943933346841236,3227694,1647816,1256991,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_n65_r16_v00_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r16_v00_90000.hdf5,A1900,n65,r16,v00,,90000,0.002,9.998157260428001e+18,4.636121645854215e+18,3.579729198753345e+18,0.4636976119793251,0.35803889711973824,3227694,1496674,1155640,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_n65_r16_v02_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r16_v02_90000.hdf5,A1900,n65,r16,v02,,90000,0.002,9.99815710042623e+18,4.1518774322868977e+18,3.0365280736800604e+18,0.4152642722637255,0.30370877784573025,3227694,1340346,980279,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
